,price,location,"rooms[bed,bath]",SQm,type_p,description,link
33,"$33,000,000CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']",8 SqM ,Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546482
34,"$826,173,300CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","175,001 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u544002
35,"$210,000,000CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","12,200 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546650
36,"$299,000,000CLP($2,230,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",134 SqM ,House,3 Bedroom House for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-vitacura-in-santiago-santiago-u549034
37,"$218,385,142CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","12,000 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545464
38,"$214,254,275CLP($1,840,000CLP/SqM)"," Puerto Varas, Llanquihue, Los Lagos, Chile","['2', '2']",116 SqM ,Apartment,2 Bedroom Apartment for sale at Puerto Varas,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puerto-varas-in-puerto-varas-los-lagos-u543670
39,"$130,783,233CLP"," Puerto Varas, Llanquihue, Los Lagos, Chile","[' ', ' ']","1,899 SqM ",Land, Land for sale at Puerto Varas,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-puerto-varas-in-puerto-varas-los-lagos-u545340
40,"$30,000,000CLP"," Puerto Varas, Llanquihue, Los Lagos, Chile","[' ', ' ']","5,000 SqM ",Land, Land for sale at Puerto Varas,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-puerto-varas-in-puerto-varas-los-lagos-u544082
41,"$270,000,000CLP"," Puerto Varas, Llanquihue, Los Lagos, Chile","[' ', ' ']","213,502 SqM ",Land, Land for sale at Puerto Varas,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-puerto-varas-in-puerto-varas-los-lagos-u544390
42,"$270,709,451CLP($1,700,000CLP/SqM)"," Puerto Varas, Llanquihue, Los Lagos, Chile","['3', '2']",159 SqM ,Apartment,3 Bedroom Apartment for sale at Puerto Varas,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-puerto-varas-in-puerto-varas-los-lagos-u543514
43,"$842,696,766CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","3,060 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546406
44,"$550,000,000CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","5,000 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546564
45,"$292,382,730CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","3,277 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545914
46,"$292,395,949CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","3,277 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u544508
47,"$850,000,000CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","4,483 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546232
48,"$292,382,730CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","3,277 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546152
49,"$292,395,949CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","3,277 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545680
50,"$916,060,955CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","1,512 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u546786
51,"$289,160,655CLP($1,150,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['5', '3']",250 SqM ,House,5 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547682
52,"$46,816CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","9,280 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u543784
53,"$420,000,000CLP($1,400,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",300 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u546368
54,"$1,079,533,112CLP"," Mariquina, Valdivia, Los Rios, Chile","[' ', ' ']","97,411 SqM ",Land, Land for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-valdivia-in-mariquina-los-rios-u545500
